Vaccine type,Town,Vaccine coverage
פלצת–אסכרה-שעלת-Tdap,ג'נין,85%
פלצת–אסכרה-שעלת-Tdap,בית קמה,100%
פלצת–אסכרה-שעלת-Tdap,בית עוזיאל,96%
פלצת–אסכרה-שעלת-Tdap,בית חירות,100%
פלצת–אסכרה-שעלת-Tdap,אליפלט,97%
פלצת–אסכרה-שעלת-Tdap,תלמי יחיאל,100%
פלצת–אסכרה-שעלת-Tdap,שניר,82%
פלצת–אסכרה-שעלת-Tdap,שדי תרומות,96%
פלצת–אסכרה-שעלת-Tdap,רמת רחל,100%
פלצת–אסכרה-שעלת-Tdap,רמת דוד,93%
פלצת–אסכרה-שעלת-Tdap,פטיש,98%
פלצת–אסכרה-שעלת-Tdap,ערוגות,100%
פלצת–אסכרה-שעלת-Tdap,עבידיה,75%
פלצת–אסכרה-שעלת-Tdap,ניר ישראל,73%
פלצת–אסכרה-שעלת-Tdap,נטור,77%
פלצת–אסכרה-שעלת-Tdap,נחשון,89%
פלצת–אסכרה-שעלת-Tdap,נווה ירק,91%
פלצת–אסכרה-שעלת-Tdap,משמר העמק,100%
פלצת–אסכרה-שעלת-Tdap,מסדה,91%
פלצת–אסכרה-שעלת-Tdap,מלכיה,100%
פלצת–אסכרה-שעלת-Tdap,מחניים,100%
פלצת–אסכרה-שעלת-Tdap,מגשימים,96%
פלצת–אסכרה-שעלת-Tdap,כפר חסידים א',81%
פלצת–אסכרה-שעלת-Tdap,כפר אביב,85%
פלצת–אסכרה-שעלת-Tdap,חרמש,70%
פלצת–אסכרה-שעלת-Tdap,חלמיש,92%
פלצת–אסכרה-שעלת-Tdap,המעפיל,100%
פלצת–אסכרה-שעלת-Tdap,דור,78%
פלצת–אסכרה-שעלת-Tdap,דבורה,73%
פלצת–אסכרה-שעלת-Tdap,גדות,82%
פלצת–אסכרה-שעלת-Tdap,בית נקופה,95%
פלצת–אסכרה-שעלת-Tdap,בית לקיא,50%
פלצת–אסכרה-שעלת-Tdap,בית הערבה,91%
פלצת–אסכרה-שעלת-Tdap,אייל,96%
פלצת–אסכרה-שעלת-Tdap,תלמי יפה,100%
פלצת–אסכרה-שעלת-Tdap,תל קציר,100%
פלצת–אסכרה-שעלת-Tdap,שקף,82%
פלצת–אסכרה-שעלת-Tdap,שדה בוקר,100%
פלצת–אסכרה-שעלת-Tdap,צוקי ים,67%
פלצת–אסכרה-שעלת-Tdap,עוצם,95%
פלצת–אסכרה-שעלת-Tdap,עגור,82%
פלצת–אסכרה-שעלת-Tdap,"ניר ח""ן",100%
פלצת–אסכרה-שעלת-Tdap,מנוחה,100%
פלצת–אסכרה-שעלת-Tdap,יסעור,94%
פלצת–אסכרה-שעלת-Tdap,טיבה-ראמאללה,100%
פלצת–אסכרה-שעלת-Tdap,חמרה,100%
פלצת–אסכרה-שעלת-Tdap,דהיישה,100%
פלצת–אסכרה-שעלת-Tdap,גיאה,91%
פלצת–אסכרה-שעלת-Tdap,אחוזם,85%
פלצת–אסכרה-שעלת-Tdap,שחרות,86%
פלצת–אסכרה-שעלת-Tdap,רעים,86%
פלצת–אסכרה-שעלת-Tdap,רמות מאיר,100%
פלצת–אסכרה-שעלת-Tdap,רם-און,91%
פלצת–אסכרה-שעלת-Tdap,עין שמר,100%
פלצת–אסכרה-שעלת-Tdap,עזר,100%
פלצת–אסכרה-שעלת-Tdap,סגולה,86%
פלצת–אסכרה-שעלת-Tdap,נחם,95%
פלצת–אסכרה-שעלת-Tdap,נופך,96%
פלצת–אסכרה-שעלת-Tdap,משואות יצחק,97%
פלצת–אסכרה-שעלת-Tdap,מעלה החמישה,94%
פלצת–אסכרה-שעלת-Tdap,מיטב,93%
פלצת–אסכרה-שעלת-Tdap,מחנה יפה,97%
פלצת–אסכרה-שעלת-Tdap,"כפר מל""ל",70%
פלצת–אסכרה-שעלת-Tdap,כפר ידידיה,90%
פלצת–אסכרה-שעלת-Tdap,כפר טרומן,100%
פלצת–אסכרה-שעלת-Tdap,חניאל,100%
פלצת–אסכרה-שעלת-Tdap,דורות,97%
פלצת–אסכרה-שעלת-Tdap,ברקאי,100%
פלצת–אסכרה-שעלת-Tdap,ברור חיל,94%
פלצת–אסכרה-שעלת-Tdap,בית יוסף,96%
פלצת–אסכרה-שעלת-Tdap,ארז,100%
פלצת–אסכרה-שעלת-Tdap,אלוני אבא,82%
פלצת–אסכרה-שעלת-Tdap,אדנה,100%
פלצת–אסכרה-שעלת-Tdap,תל יוסף,93%
פלצת–אסכרה-שעלת-Tdap,רמות נפתלי,91%
פלצת–אסכרה-שעלת-Tdap,ריחן,90%
פלצת–אסכרה-שעלת-Tdap,קטורה,95%
פלצת–אסכרה-שעלת-Tdap,קורנית,100%
פלצת–אסכרה-שעלת-Tdap,צופר,100%
פלצת–אסכרה-שעלת-Tdap,צאלים,86%
פלצת–אסכרה-שעלת-Tdap,פלך,100%
פלצת–אסכרה-שעלת-Tdap,פדיה,100%
פלצת–אסכרה-שעלת-Tdap,פדויים,100%
פלצת–אסכרה-שעלת-Tdap,עזוז,0%
פלצת–אסכרה-שעלת-Tdap,"נתיב הל""ה",100%
פלצת–אסכרה-שעלת-Tdap,נירים,94%
פלצת–אסכרה-שעלת-Tdap,ניר אליהו,89%
פלצת–אסכרה-שעלת-Tdap,נטעים,80%
פלצת–אסכרה-שעלת-Tdap,נחל עוז,90%
פלצת–אסכרה-שעלת-Tdap,מצר,92%
פלצת–אסכרה-שעלת-Tdap,מעוז חיים,100%
פלצת–אסכרה-שעלת-Tdap,מישר,83%
פלצת–אסכרה-שעלת-Tdap,מי עמי,100%
פלצת–אסכרה-שעלת-Tdap,לוטן,75%
פלצת–אסכרה-שעלת-Tdap,להבות חביבה,94%
פלצת–אסכרה-שעלת-Tdap,כרמים,100%
פלצת–אסכרה-שעלת-Tdap,כפר זוהרים,40%
פלצת–אסכרה-שעלת-Tdap,כפר אחים,95%
פלצת–אסכרה-שעלת-Tdap,יעף,50%
פלצת–אסכרה-שעלת-Tdap,יגל,97%
פלצת–אסכרה-שעלת-Tdap,חירות,86%
פלצת–אסכרה-שעלת-Tdap,ח'דר,0%
פלצת–אסכרה-שעלת-Tdap,דמיידה,100%
פלצת–אסכרה-שעלת-Tdap,"דוב""ב",92%
פלצת–אסכרה-שעלת-Tdap,גלאון,89%
פלצת–אסכרה-שעלת-Tdap,בני דרום,100%
פלצת–אסכרה-שעלת-Tdap,בית ענאן,33%
פלצת–אסכרה-שעלת-Tdap,בית חנן,100%
פלצת–אסכרה-שעלת-Tdap,אלמוג,100%
פלצת–אסכרה-שעלת-Tdap,אילניה,100%
פלצת–אסכרה-שעלת-Tdap,אורטל,100%
פלצת–אסכרה-שעלת-Tdap,תעוז,100%
פלצת–אסכרה-שעלת-Tdap,קראות בני זיד,67%
פלצת–אסכרה-שעלת-Tdap,קלחים,100%
פלצת–אסכרה-שעלת-Tdap,קביא,100%
פלצת–אסכרה-שעלת-Tdap,פרזון,94%
פלצת–אסכרה-שעלת-Tdap,ערב אל נעים,100%
פלצת–אסכרה-שעלת-Tdap,עקבת ג'בר,75%
פלצת–אסכרה-שעלת-Tdap,עיר אובות,67%
פלצת–אסכרה-שעלת-Tdap,עין השלושה,100%
פלצת–אסכרה-שעלת-Tdap,סאסא,80%
פלצת–אסכרה-שעלת-Tdap,מרום גולן,93%
פלצת–אסכרה-שעלת-Tdap,מנוף,100%
פלצת–אסכרה-שעלת-Tdap,מחנה יתיר,100%
פלצת–אסכרה-שעלת-Tdap,מורן,93%
פלצת–אסכרה-שעלת-Tdap,לבון,100%
פלצת–אסכרה-שעלת-Tdap,כפר גליקסון,88%
פלצת–אסכרה-שעלת-Tdap,כפר ברוך,100%
פלצת–אסכרה-שעלת-Tdap,חמדת,93%
פלצת–אסכרה-שעלת-Tdap,חבר,95%
פלצת–אסכרה-שעלת-Tdap,הוזייל (שבט),97%
פלצת–אסכרה-שעלת-Tdap,גשור,89%
פלצת–אסכרה-שעלת-Tdap,גנות,100%
פלצת–אסכרה-שעלת-Tdap,גן שמואל,100%
פלצת–אסכרה-שעלת-Tdap,גן חיים,88%
פלצת–אסכרה-שעלת-Tdap,גורן,87%
פלצת–אסכרה-שעלת-Tdap,ג'לזון,50%
פלצת–אסכרה-שעלת-Tdap,בית עובד,100%
פלצת–אסכרה-שעלת-Tdap,בית סוריכ,0%
פלצת–אסכרה-שעלת-Tdap,ביר נבאלא,100%
פלצת–אסכרה-שעלת-Tdap,אפיק,100%
פלצת–אסכרה-שעלת-Tdap,אמנון,100%
פלצת–אסכרה-שעלת-Tdap,שדה ניצן,100%
פלצת–אסכרה-שעלת-Tdap,שאר ישוב,87%
פלצת–אסכרה-שעלת-Tdap,קליה,100%
פלצת–אסכרה-שעלת-Tdap,קביבה,100%
פלצת–אסכרה-שעלת-Tdap,פתחיה,100%
פלצת–אסכרה-שעלת-Tdap,עלומים,93%
פלצת–אסכרה-שעלת-Tdap,עין העמק,95%
פלצת–אסכרה-שעלת-Tdap,נס עמים,67%
פלצת–אסכרה-שעלת-Tdap,ניר יצחק,100%
פלצת–אסכרה-שעלת-Tdap,משמר השרון,94%
פלצת–אסכרה-שעלת-Tdap,מסד,91%
פלצת–אסכרה-שעלת-Tdap,מחסיה,87%
פלצת–אסכרה-שעלת-Tdap,מחנה מרים,100%
פלצת–אסכרה-שעלת-Tdap,מחנה טלי,100%
פלצת–אסכרה-שעלת-Tdap,יערה,92%
פלצת–אסכרה-שעלת-Tdap,ח'רבת  אל-ערוב,67%
פלצת–אסכרה-שעלת-Tdap,גת (קיבוץ),100%
פלצת–אסכרה-שעלת-Tdap,גן שלמה,100%
פלצת–אסכרה-שעלת-Tdap,גבע,75%
פלצת–אסכרה-שעלת-Tdap,בלפוריה,92%
פלצת–אסכרה-שעלת-Tdap,בית ניר,100%
פלצת–אסכרה-שעלת-Tdap,אסד (שבט),97%
פלצת–אסכרה-שעלת-Tdap,אילות,100%
פלצת–אסכרה-שעלת-Tdap,תל יצחק,89%
פלצת–אסכרה-שעלת-Tdap,רנן,100%
פלצת–אסכרה-שעלת-Tdap,רווחה,100%
פלצת–אסכרה-שעלת-Tdap,ראס עלי,100%
פלצת–אסכרה-שעלת-Tdap,צובה,100%
פלצת–אסכרה-שעלת-Tdap,צבא,100%
פלצת–אסכרה-שעלת-Tdap,פצאל,94%
פלצת–אסכרה-שעלת-Tdap,עין המפרץ,100%
פלצת–אסכרה-שעלת-Tdap,נתיב השיירה,82%
פלצת–אסכרה-שעלת-Tdap,ניצנים,94%
פלצת–אסכרה-שעלת-Tdap,נווה ים,90%
פלצת–אסכרה-שעלת-Tdap,נוגה,78%
פלצת–אסכרה-שעלת-Tdap,מעגן,95%
פלצת–אסכרה-שעלת-Tdap,כפר דניאל,100%
פלצת–אסכרה-שעלת-Tdap,כחלה,100%
פלצת–אסכרה-שעלת-Tdap,דישון,83%
פלצת–אסכרה-שעלת-Tdap,גשר,90%
פלצת–אסכרה-שעלת-Tdap,ביתן אהרן,88%
פלצת–אסכרה-שעלת-Tdap,ביר זית,100%
פלצת–אסכרה-שעלת-Tdap,בדו,0%
פלצת–אסכרה-שעלת-Tdap,באר מילכה,83%
פלצת–אסכרה-שעלת-Tdap,אשדות יעקב  (מאוחד),100%
פלצת–אסכרה-שעלת-Tdap,אשבול,71%
פלצת–אסכרה-שעלת-Tdap,ארטס,100%
פלצת–אסכרה-שעלת-Tdap,אפק,100%
פלצת–אסכרה-שעלת-Tdap,אושה,100%
פלצת–אסכרה-שעלת-Tdap,תדהר,100%
פלצת–אסכרה-שעלת-Tdap,שלווה,97%
פלצת–אסכרה-שעלת-Tdap,שדה יואב,85%
פלצת–אסכרה-שעלת-Tdap,קרית ענבים,82%
פלצת–אסכרה-שעלת-Tdap,צוריאל,95%
פלצת–אסכרה-שעלת-Tdap,פרוד,94%
פלצת–אסכרה-שעלת-Tdap,סופה,100%
פלצת–אסכרה-שעלת-Tdap,נטועה,89%
פלצת–אסכרה-שעלת-Tdap,נווה שלום,100%
פלצת–אסכרה-שעלת-Tdap,נווה אור,88%
פלצת–אסכרה-שעלת-Tdap,משגב עם,100%
פלצת–אסכרה-שעלת-Tdap,מבטחים,100%
פלצת–אסכרה-שעלת-Tdap,יראון,100%
פלצת–אסכרה-שעלת-Tdap,חורשים,75%
פלצת–אסכרה-שעלת-Tdap,חבלה,100%
פלצת–אסכרה-שעלת-Tdap,ח'ואלד,97%
פלצת–אסכרה-שעלת-Tdap,דקל,100%
פלצת–אסכרה-שעלת-Tdap,גליל ים,94%
פלצת–אסכרה-שעלת-Tdap,גבעת עוז,89%
פלצת–אסכרה-שעלת-Tdap,גבעת השלושה,93%
פלצת–אסכרה-שעלת-Tdap,ג'בע-ראמאללה,50%
פלצת–אסכרה-שעלת-Tdap,בת הדר,100%
פלצת–אסכרה-שעלת-Tdap,ברעם,91%
פלצת–אסכרה-שעלת-Tdap,בן שמן (מושב),88%
פלצת–אסכרה-שעלת-Tdap,אשרת,93%
פלצת–אסכרה-שעלת-Tdap,ארבל,87%
פלצת–אסכרה-שעלת-Tdap,אביגדור,96%
פלצת–אסכרה-שעלת-Tdap,קבוצת יבנה,94%
פלצת–אסכרה-שעלת-Tdap,עין גדי,100%
פלצת–אסכרה-שעלת-Tdap,עזה,67%
פלצת–אסכרה-שעלת-Tdap,ניר בנים,100%
פלצת–אסכרה-שעלת-Tdap,משגב דב,100%
פלצת–אסכרה-שעלת-Tdap,מסילות,90%
פלצת–אסכרה-שעלת-Tdap,מנרה,92%
פלצת–אסכרה-שעלת-Tdap,מלילות,88%
פלצת–אסכרה-שעלת-Tdap,כרם שלום,100%
פלצת–אסכרה-שעלת-Tdap,יהל,100%
פלצת–אסכרה-שעלת-Tdap,טפחות,96%
פלצת–אסכרה-שעלת-Tdap,זנוח,100%
פלצת–אסכרה-שעלת-Tdap,גבים,95%
פלצת–אסכרה-שעלת-Tdap,ג'ש (גוש חלב),100%
פלצת–אסכרה-שעלת-Tdap,בית שערים,100%
פלצת–אסכרה-שעלת-Tdap,בית עוא,0%
פלצת–אסכרה-שעלת-Tdap,בחן,100%
פלצת–אסכרה-שעלת-Tdap,אביבים,100%
פלצת–אסכרה-שעלת-Tdap,שיבולים,100%
פלצת–אסכרה-שעלת-Tdap,שחר,100%
פלצת–אסכרה-שעלת-Tdap,שומרה,87%
פלצת–אסכרה-שעלת-Tdap,רפיח5890,100%
פלצת–אסכרה-שעלת-Tdap,עמיעוז,100%
פלצת–אסכרה-שעלת-Tdap,ניר יפה,94%
פלצת–אסכרה-שעלת-Tdap,נחשונים,100%
פלצת–אסכרה-שעלת-Tdap,נועם,100%
פלצת–אסכרה-שעלת-Tdap,מכורה,75%
פלצת–אסכרה-שעלת-Tdap,מגן,100%
פלצת–אסכרה-שעלת-Tdap,כרמיה,100%
פלצת–אסכרה-שעלת-Tdap,כפר חרוב,83%
פלצת–אסכרה-שעלת-Tdap,כפר המכבי,94%
פלצת–אסכרה-שעלת-Tdap,כנרת (מושבה),75%
פלצת–אסכרה-שעלת-Tdap,ורד יריחו,94%
פלצת–אסכרה-שעלת-Tdap,הראל,100%
פלצת–אסכרה-שעלת-Tdap,דגניה א',100%
פלצת–אסכרה-שעלת-Tdap,דברת,94%
פלצת–אסכרה-שעלת-Tdap,גרופית,100%
פלצת–אסכרה-שעלת-Tdap,גדעונה,71%
פלצת–אסכרה-שעלת-Tdap,בית עור א-תחתא,50%
פלצת–אסכרה-שעלת-Tdap,אבן מנחם,80%
פלצת–אסכרה-שעלת-Tdap,אביטל,88%
פלצת–אסכרה-שעלת-Tdap,אבו עבדון (שבט),94%
פלצת–אסכרה-שעלת-Tdap,תאשור,100%
פלצת–אסכרה-שעלת-Tdap,שער הגולן,100%
פלצת–אסכרה-שעלת-Tdap,רחוב,100%
פלצת–אסכרה-שעלת-Tdap,סייד (שבט),100%
פלצת–אסכרה-שעלת-Tdap,"נעמ""ה",100%
פלצת–אסכרה-שעלת-Tdap,נובא,100%
פלצת–אסכרה-שעלת-Tdap,מחנה יהודית,100%
פלצת–אסכרה-שעלת-Tdap,מגידו,100%
פלצת–אסכרה-שעלת-Tdap,יובל,91%
פלצת–אסכרה-שעלת-Tdap,גפן,100%
פלצת–אסכרה-שעלת-Tdap,גן הדרום,100%
פלצת–אסכרה-שעלת-Tdap,גבעת שפירא,100%
פלצת–אסכרה-שעלת-Tdap,אלומות,100%
פלצת–אסכרה-שעלת-Tdap,תומר,100%
פלצת–אסכרה-שעלת-Tdap,ריחיה,0%
פלצת–אסכרה-שעלת-Tdap,צור נתן,33%
פלצת–אסכרה-שעלת-Tdap,עין תמר,86%
פלצת–אסכרה-שעלת-Tdap,עארורה,0%
פלצת–אסכרה-שעלת-Tdap,עאבוד,100%
פלצת–אסכרה-שעלת-Tdap,מנות,95%
פלצת–אסכרה-שעלת-Tdap,מחנה יוכבד,93%
פלצת–אסכרה-שעלת-Tdap,מחנה הילה,100%
פלצת–אסכרה-שעלת-Tdap,כפר ביאליק,100%
פלצת–אסכרה-שעלת-Tdap,יפית,75%
פלצת–אסכרה-שעלת-Tdap,יבול,86%
פלצת–אסכרה-שעלת-Tdap,יאמון,100%
פלצת–אסכרה-שעלת-Tdap,דיר עמאר,0%
פלצת–אסכרה-שעלת-Tdap,דיר גסאנה,0%
פלצת–אסכרה-שעלת-Tdap,דחי,100%
פלצת–אסכרה-שעלת-Tdap,גת רימון,80%
פלצת–אסכרה-שעלת-Tdap,גן שורק,100%
פלצת–אסכרה-שעלת-Tdap,גיתית,100%
פלצת–אסכרה-שעלת-Tdap,גיבתון,100%
פלצת–אסכרה-שעלת-Tdap,גבולות,86%
פלצת–אסכרה-שעלת-Tdap,גאולי תימן,100%
פלצת–אסכרה-שעלת-Tdap,ביתוניא,0%
פלצת–אסכרה-שעלת-Tdap,אבשלום,100%
פלצת–אסכרה-שעלת-Tdap,תפוח,0%
פלצת–אסכרה-שעלת-Tdap,שמרת,100%
פלצת–אסכרה-שעלת-Tdap,שדות מיכה,100%
פלצת–אסכרה-שעלת-Tdap,פקיעין (בוקייעה),100%
פלצת–אסכרה-שעלת-Tdap,עינת,100%
פלצת–אסכרה-שעלת-Tdap,עין חוד,100%
פלצת–אסכרה-שעלת-Tdap,סער,93%
פלצת–אסכרה-שעלת-Tdap,נתיב הגדוד,100%
פלצת–אסכרה-שעלת-Tdap,ניר עוז,100%
פלצת–אסכרה-שעלת-Tdap,נאות הכיכר,100%
פלצת–אסכרה-שעלת-Tdap,מרגליות,100%
פלצת–אסכרה-שעלת-Tdap,כפר רות,91%
פלצת–אסכרה-שעלת-Tdap,כמהין,100%
פלצת–אסכרה-שעלת-Tdap,כלנית,93%
פלצת–אסכרה-שעלת-Tdap,כובר,0%
פלצת–אסכרה-שעלת-Tdap,חזון,100%
פלצת–אסכרה-שעלת-Tdap,הודיות,50%
פלצת–אסכרה-שעלת-Tdap,גני עם,75%
פלצת–אסכרה-שעלת-Tdap,גלעד (אבן יצחק),89%
פלצת–אסכרה-שעלת-Tdap,גלגל,100%
פלצת–אסכרה-שעלת-Tdap,ברוש,100%
פלצת–אסכרה-שעלת-Tdap,בית גוברין,86%
פלצת–אסכרה-שעלת-Tdap,אשל הנשיא,100%
פלצת–אסכרה-שעלת-Tdap,עראבה (ג'נין),100%
פלצת–אסכרה-שעלת-Tdap,עמוקה,75%
פלצת–אסכרה-שעלת-Tdap,עין אל-אסד,100%
פלצת–אסכרה-שעלת-Tdap,סלואד,0%
פלצת–אסכרה-שעלת-Tdap,נעורים,100%
פלצת–אסכרה-שעלת-Tdap,נור א-שמס,100%
פלצת–אסכרה-שעלת-Tdap,"נווה אטי""ב",75%
פלצת–אסכרה-שעלת-Tdap,מלאה,93%
פלצת–אסכרה-שעלת-Tdap,כפר נעמה,0%
פלצת–אסכרה-שעלת-Tdap,טובאס,75%
פלצת–אסכרה-שעלת-Tdap,ח'אראס,0%
פלצת–אסכרה-שעלת-Tdap,אמציה,92%
פלצת–אסכרה-שעלת-Tdap,אלקוש,100%
פלצת–אסכרה-שעלת-Tdap,אוהד,100%
פלצת–אסכרה-שעלת-Tdap,אדירים,100%
פלצת–אסכרה-שעלת-Tdap,תלמי יוסף,100%
פלצת–אסכרה-שעלת-Tdap,תלמי אליהו,86%
פלצת–אסכרה-שעלת-Tdap,שיזף,86%
פלצת–אסכרה-שעלת-Tdap,שורשים,92%
פלצת–אסכרה-שעלת-Tdap,שדי אברהם,86%
פלצת–אסכרה-שעלת-Tdap,רמת טראמפ,91%
פלצת–אסכרה-שעלת-Tdap,ראס אל-עין,100%
פלצת–אסכרה-שעלת-Tdap,קצרה,100%
פלצת–אסכרה-שעלת-Tdap,קדרים,90%
פלצת–אסכרה-שעלת-Tdap,עין חרוד (איחוד),100%
פלצת–אסכרה-שעלת-Tdap,עוזה,100%
פלצת–אסכרה-שעלת-Tdap,עדנים,89%
פלצת–אסכרה-שעלת-Tdap,מצפה שלם,100%
פלצת–אסכרה-שעלת-Tdap,מלכישוע,80%
פלצת–אסכרה-שעלת-Tdap,כפר חסידים ב',100%
פלצת–אסכרה-שעלת-Tdap,ישע,100%
פלצת–אסכרה-שעלת-Tdap,טמון,0%
פלצת–אסכרה-שעלת-Tdap,חלץ,100%
פלצת–אסכרה-שעלת-Tdap,גיזו,67%
פלצת–אסכרה-שעלת-Tdap,גבעולים,94%
פלצת–אסכרה-שעלת-Tdap,בית זיד,67%
פלצת–אסכרה-שעלת-Tdap,אשדות יעקב  (איחוד),100%
פלצת–אסכרה-שעלת-Tdap,ארגמן,60%
